,Month,Neighbourhood Name,Neighbourhood Number,No Response,Owned,Quarter,Rented,Year,﻿Ward
180,8,RIVER VALLEY VICTORIA,1200,0,0,3,0,2011,Ward 6
180,9,RIVER VALLEY VICTORIA,1200,0,0,3,0,2011,Ward 6
180,10,RIVER VALLEY VICTORIA,1200,0,0,4,0,2011,Ward 6
180,11,RIVER VALLEY VICTORIA,1200,0,0,4,0,2011,Ward 6
180,12,RIVER VALLEY VICTORIA,1200,0,0,4,0,2011,Ward 6
181,1,RIVERDALE,1210,14,617,1,317,2011,Ward 6
181,2,RIVERDALE,1210,14,617,1,317,2011,Ward 6
181,3,RIVERDALE,1210,14,617,1,317,2011,Ward 6
181,4,RIVERDALE,1210,14,617,2,317,2011,Ward 6
181,5,RIVERDALE,1210,14,617,2,317,2011,Ward 6
181,6,RIVERDALE,1210,14,617,2,317,2011,Ward 6
181,7,RIVERDALE,1210,14,617,3,317,2011,Ward 6
181,8,RIVERDALE,1210,14,617,3,317,2011,Ward 6
181,9,RIVERDALE,1210,14,617,3,317,2011,Ward 6
181,10,RIVERDALE,1210,14,617,4,317,2011,Ward 6
181,11,RIVERDALE,1210,14,617,4,317,2011,Ward 6
181,12,RIVERDALE,1210,14,617,4,317,2011,Ward 6
182,1,ROSSDALE,1220,15,228,1,232,2011,Ward 6
182,2,ROSSDALE,1220,15,228,1,232,2011,Ward 6
182,3,ROSSDALE,1220,15,228,1,232,2011,Ward 6
182,4,ROSSDALE,1220,15,228,2,232,2011,Ward 6
182,5,ROSSDALE,1220,15,228,2,232,2011,Ward 6
182,6,ROSSDALE,1220,15,228,2,232,2011,Ward 6
182,7,ROSSDALE,1220,15,228,3,232,2011,Ward 6
182,8,ROSSDALE,1220,15,228,3,232,2011,Ward 6
182,9,ROSSDALE,1220,15,228,3,232,2011,Ward 6
182,10,ROSSDALE,1220,15,228,4,232,2011,Ward 6
182,11,ROSSDALE,1220,15,228,4,232,2011,Ward 6
182,12,ROSSDALE,1220,15,228,4,232,2011,Ward 6
183,1,WESTMOUNT,3440,335,1465,1,1314,2011,Ward 6
183,2,WESTMOUNT,3440,335,1465,1,1314,2011,Ward 6
183,3,WESTMOUNT,3440,335,1465,1,1314,2011,Ward 6
183,4,WESTMOUNT,3440,335,1465,2,1314,2011,Ward 6
183,5,WESTMOUNT,3440,335,1465,2,1314,2011,Ward 6
183,6,WESTMOUNT,3440,335,1465,2,1314,2011,Ward 6
183,7,WESTMOUNT,3440,335,1465,3,1314,2011,Ward 6
183,8,WESTMOUNT,3440,335,1465,3,1314,2011,Ward 6
183,9,WESTMOUNT,3440,335,1465,3,1314,2011,Ward 6
183,10,WESTMOUNT,3440,335,1465,4,1314,2011,Ward 6
183,11,WESTMOUNT,3440,335,1465,4,1314,2011,Ward 6
183,12,WESTMOUNT,3440,335,1465,4,1314,2011,Ward 6
184,1,ABBOTTSFIELD,2010,21,191,1,510,2011,Ward 7
184,2,ABBOTTSFIELD,2010,21,191,1,510,2011,Ward 7
184,3,ABBOTTSFIELD,2010,21,191,1,510,2011,Ward 7
184,4,ABBOTTSFIELD,2010,21,191,2,510,2011,Ward 7
184,5,ABBOTTSFIELD,2010,21,191,2,510,2011,Ward 7
184,6,ABBOTTSFIELD,2010,21,191,2,510,2011,Ward 7
184,7,ABBOTTSFIELD,2010,21,191,3,510,2011,Ward 7
184,8,ABBOTTSFIELD,2010,21,191,3,510,2011,Ward 7
184,9,ABBOTTSFIELD,2010,21,191,3,510,2011,Ward 7
184,10,ABBOTTSFIELD,2010,21,191,4,510,2011,Ward 7
184,11,ABBOTTSFIELD,2010,21,191,4,510,2011,Ward 7
184,12,ABBOTTSFIELD,2010,21,191,4,510,2011,Ward 7
185,1,ALBERTA AVENUE,1010,288,1420,1,1119,2011,Ward 7
185,2,ALBERTA AVENUE,1010,288,1420,1,1119,2011,Ward 7
185,3,ALBERTA AVENUE,1010,288,1420,1,1119,2011,Ward 7
185,4,ALBERTA AVENUE,1010,288,1420,2,1119,2011,Ward 7
185,5,ALBERTA AVENUE,1010,288,1420,2,1119,2011,Ward 7
185,6,ALBERTA AVENUE,1010,288,1420,2,1119,2011,Ward 7
185,7,ALBERTA AVENUE,1010,288,1420,3,1119,2011,Ward 7
185,8,ALBERTA AVENUE,1010,288,1420,3,1119,2011,Ward 7
185,9,ALBERTA AVENUE,1010,288,1420,3,1119,2011,Ward 7
185,10,ALBERTA AVENUE,1010,288,1420,4,1119,2011,Ward 7
185,11,ALBERTA AVENUE,1010,288,1420,4,1119,2011,Ward 7
185,12,ALBERTA AVENUE,1010,288,1420,4,1119,2011,Ward 7
186,1,BALWIN,2020,80,847,1,590,2011,Ward 7
186,2,BALWIN,2020,80,847,1,590,2011,Ward 7
186,3,BALWIN,2020,80,847,1,590,2011,Ward 7
186,4,BALWIN,2020,80,847,2,590,2011,Ward 7
186,5,BALWIN,2020,80,847,2,590,2011,Ward 7
186,6,BALWIN,2020,80,847,2,590,2011,Ward 7
186,7,BALWIN,2020,80,847,3,590,2011,Ward 7
186,8,BALWIN,2020,80,847,3,590,2011,Ward 7
186,9,BALWIN,2020,80,847,3,590,2011,Ward 7
186,10,BALWIN,2020,80,847,4,590,2011,Ward 7
186,11,BALWIN,2020,80,847,4,590,2011,Ward 7
186,12,BALWIN,2020,80,847,4,590,2011,Ward 7
187,1,BEACON HEIGHTS,2040,190,771,1,333,2011,Ward 7
187,2,BEACON HEIGHTS,2040,190,771,1,333,2011,Ward 7
187,3,BEACON HEIGHTS,2040,190,771,1,333,2011,Ward 7
187,4,BEACON HEIGHTS,2040,190,771,2,333,2011,Ward 7
187,5,BEACON HEIGHTS,2040,190,771,2,333,2011,Ward 7
187,6,BEACON HEIGHTS,2040,190,771,2,333,2011,Ward 7
187,7,BEACON HEIGHTS,2040,190,771,3,333,2011,Ward 7
187,8,BEACON HEIGHTS,2040,190,771,3,333,2011,Ward 7
187,9,BEACON HEIGHTS,2040,190,771,3,333,2011,Ward 7
187,10,BEACON HEIGHTS,2040,190,771,4,333,2011,Ward 7
187,11,BEACON HEIGHTS,2040,190,771,4,333,2011,Ward 7
187,12,BEACON HEIGHTS,2040,190,771,4,333,2011,Ward 7
188,1,BELLEVUE,2060,33,351,1,91,2011,Ward 7
188,2,BELLEVUE,2060,33,351,1,91,2011,Ward 7
188,3,BELLEVUE,2060,33,351,1,91,2011,Ward 7
188,4,BELLEVUE,2060,33,351,2,91,2011,Ward 7
188,5,BELLEVUE,2060,33,351,2,91,2011,Ward 7
188,6,BELLEVUE,2060,33,351,2,91,2011,Ward 7
188,7,BELLEVUE,2060,33,351,3,91,2011,Ward 7
188,8,BELLEVUE,2060,33,351,3,91,2011,Ward 7
188,9,BELLEVUE,2060,33,351,3,91,2011,Ward 7
188,10,BELLEVUE,2060,33,351,4,91,2011,Ward 7
188,11,BELLEVUE,2060,33,351,4,91,2011,Ward 7
188,12,BELLEVUE,2060,33,351,4,91,2011,Ward 7
189,1,BERGMAN,2090,14,471,1,51,2011,Ward 7
189,2,BERGMAN,2090,14,471,1,51,2011,Ward 7
189,3,BERGMAN,2090,14,471,1,51,2011,Ward 7
189,4,BERGMAN,2090,14,471,2,51,2011,Ward 7
189,5,BERGMAN,2090,14,471,2,51,2011,Ward 7
189,6,BERGMAN,2090,14,471,2,51,2011,Ward 7
189,7,BERGMAN,2090,14,471,3,51,2011,Ward 7
189,8,BERGMAN,2090,14,471,3,51,2011,Ward 7
189,9,BERGMAN,2090,14,471,3,51,2011,Ward 7
189,10,BERGMAN,2090,14,471,4,51,2011,Ward 7
189,11,BERGMAN,2090,14,471,4,51,2011,Ward 7
189,12,BERGMAN,2090,14,471,4,51,2011,Ward 7
190,1,BEVERLY HEIGHTS,2100,91,909,1,578,2011,Ward 7
190,2,BEVERLY HEIGHTS,2100,91,909,1,578,2011,Ward 7
190,3,BEVERLY HEIGHTS,2100,91,909,1,578,2011,Ward 7
190,4,BEVERLY HEIGHTS,2100,91,909,2,578,2011,Ward 7
190,5,BEVERLY HEIGHTS,2100,91,909,2,578,2011,Ward 7
190,6,BEVERLY HEIGHTS,2100,91,909,2,578,2011,Ward 7
190,7,BEVERLY HEIGHTS,2100,91,909,3,578,2011,Ward 7
190,8,BEVERLY HEIGHTS,2100,91,909,3,578,2011,Ward 7
190,9,BEVERLY HEIGHTS,2100,91,909,3,578,2011,Ward 7
190,10,BEVERLY HEIGHTS,2100,91,909,4,578,2011,Ward 7
190,11,BEVERLY HEIGHTS,2100,91,909,4,578,2011,Ward 7
190,12,BEVERLY HEIGHTS,2100,91,909,4,578,2011,Ward 7
191,1,CROMDALE,1070,14,361,1,722,2011,Ward 7
191,2,CROMDALE,1070,14,361,1,722,2011,Ward 7
191,3,CROMDALE,1070,14,361,1,722,2011,Ward 7
191,4,CROMDALE,1070,14,361,2,722,2011,Ward 7
191,5,CROMDALE,1070,14,361,2,722,2011,Ward 7
191,6,CROMDALE,1070,14,361,2,722,2011,Ward 7
191,7,CROMDALE,1070,14,361,3,722,2011,Ward 7
191,8,CROMDALE,1070,14,361,3,722,2011,Ward 7
191,9,CROMDALE,1070,14,361,3,722,2011,Ward 7
191,10,CROMDALE,1070,14,361,4,722,2011,Ward 7
191,11,CROMDALE,1070,14,361,4,722,2011,Ward 7
191,12,CROMDALE,1070,14,361,4,722,2011,Ward 7
192,1,DELTON,1080,89,457,1,332,2011,Ward 7
192,2,DELTON,1080,89,457,1,332,2011,Ward 7
192,3,DELTON,1080,89,457,1,332,2011,Ward 7
192,4,DELTON,1080,89,457,2,332,2011,Ward 7
192,5,DELTON,1080,89,457,2,332,2011,Ward 7
192,6,DELTON,1080,89,457,2,332,2011,Ward 7
192,7,DELTON,1080,89,457,3,332,2011,Ward 7
192,8,DELTON,1080,89,457,3,332,2011,Ward 7
192,9,DELTON,1080,89,457,3,332,2011,Ward 7
192,10,DELTON,1080,89,457,4,332,2011,Ward 7
192,11,DELTON,1080,89,457,4,332,2011,Ward 7
192,12,DELTON,1080,89,457,4,332,2011,Ward 7
193,1,DELWOOD,2230,42,1122,1,174,2011,Ward 7
193,2,DELWOOD,2230,42,1122,1,174,2011,Ward 7
193,3,DELWOOD,2230,42,1122,1,174,2011,Ward 7
193,4,DELWOOD,2230,42,1122,2,174,2011,Ward 7
193,5,DELWOOD,2230,42,1122,2,174,2011,Ward 7
193,6,DELWOOD,2230,42,1122,2,174,2011,Ward 7
193,7,DELWOOD,2230,42,1122,3,174,2011,Ward 7
193,8,DELWOOD,2230,42,1122,3,174,2011,Ward 7
193,9,DELWOOD,2230,42,1122,3,174,2011,Ward 7
193,10,DELWOOD,2230,42,1122,4,174,2011,Ward 7
193,11,DELWOOD,2230,42,1122,4,174,2011,Ward 7
193,12,DELWOOD,2230,42,1122,4,174,2011,Ward 7
194,1,EASTWOOD,1100,120,514,1,1312,2011,Ward 7
194,2,EASTWOOD,1100,120,514,1,1312,2011,Ward 7
194,3,EASTWOOD,1100,120,514,1,1312,2011,Ward 7
194,4,EASTWOOD,1100,120,514,2,1312,2011,Ward 7
194,5,EASTWOOD,1100,120,514,2,1312,2011,Ward 7
194,6,EASTWOOD,1100,120,514,2,1312,2011,Ward 7
194,7,EASTWOOD,1100,120,514,3,1312,2011,Ward 7
194,8,EASTWOOD,1100,120,514,3,1312,2011,Ward 7
194,9,EASTWOOD,1100,120,514,3,1312,2011,Ward 7
194,10,EASTWOOD,1100,120,514,4,1312,2011,Ward 7
194,11,EASTWOOD,1100,120,514,4,1312,2011,Ward 7
194,12,EASTWOOD,1100,120,514,4,1312,2011,Ward 7
195,1,EDMONTON NORTHLANDS,1120,0,1,1,1,2011,Ward 7
195,2,EDMONTON NORTHLANDS,1120,0,1,1,1,2011,Ward 7
195,3,EDMONTON NORTHLANDS,1120,0,1,1,1,2011,Ward 7
195,4,EDMONTON NORTHLANDS,1120,0,1,2,1,2011,Ward 7
195,5,EDMONTON NORTHLANDS,1120,0,1,2,1,2011,Ward 7
195,6,EDMONTON NORTHLANDS,1120,0,1,2,1,2011,Ward 7
195,7,EDMONTON NORTHLANDS,1120,0,1,3,1,2011,Ward 7
195,8,EDMONTON NORTHLANDS,1120,0,1,3,1,2011,Ward 7
195,9,EDMONTON NORTHLANDS,1120,0,1,3,1,2011,Ward 7
195,10,EDMONTON NORTHLANDS,1120,0,1,4,1,2011,Ward 7
195,11,EDMONTON NORTHLANDS,1120,0,1,4,1,2011,Ward 7
195,12,EDMONTON NORTHLANDS,1120,0,1,4,1,2011,Ward 7
196,1,ELMWOOD PARK,1130,71,221,1,270,2011,Ward 7
196,2,ELMWOOD PARK,1130,71,221,1,270,2011,Ward 7
196,3,ELMWOOD PARK,1130,71,221,1,270,2011,Ward 7
196,4,ELMWOOD PARK,1130,71,221,2,270,2011,Ward 7
196,5,ELMWOOD PARK,1130,71,221,2,270,2011,Ward 7
196,6,ELMWOOD PARK,1130,71,221,2,270,2011,Ward 7
196,7,ELMWOOD PARK,1130,71,221,3,270,2011,Ward 7
196,8,ELMWOOD PARK,1130,71,221,3,270,2011,Ward 7
196,9,ELMWOOD PARK,1130,71,221,3,270,2011,Ward 7
196,10,ELMWOOD PARK,1130,71,221,4,270,2011,Ward 7
196,11,ELMWOOD PARK,1130,71,221,4,270,2011,Ward 7
196,12,ELMWOOD PARK,1130,71,221,4,270,2011,Ward 7
197,1,GLENGARRY,2290,30,839,1,369,2011,Ward 7
197,2,GLENGARRY,2290,30,839,1,369,2011,Ward 7
197,3,GLENGARRY,2290,30,839,1,369,2011,Ward 7
197,4,GLENGARRY,2290,30,839,2,369,2011,Ward 7
197,5,GLENGARRY,2290,30,839,2,369,2011,Ward 7
197,6,GLENGARRY,2290,30,839,2,369,2011,Ward 7
197,7,GLENGARRY,2290,30,839,3,369,2011,Ward 7
197,8,GLENGARRY,2290,30,839,3,369,2011,Ward 7
197,9,GLENGARRY,2290,30,839,3,369,2011,Ward 7
197,10,GLENGARRY,2290,30,839,4,369,2011,Ward 7
197,11,GLENGARRY,2290,30,839,4,369,2011,Ward 7
197,12,GLENGARRY,2290,30,839,4,369,2011,Ward 7
198,1,HIGHLANDS,2330,30,900,1,277,2011,Ward 7
198,2,HIGHLANDS,2330,30,900,1,277,2011,Ward 7
198,3,HIGHLANDS,2330,30,900,1,277,2011,Ward 7
198,4,HIGHLANDS,2330,30,900,2,277,2011,Ward 7
198,5,HIGHLANDS,2330,30,900,2,277,2011,Ward 7
198,6,HIGHLANDS,2330,30,900,2,277,2011,Ward 7
198,7,HIGHLANDS,2330,30,900,3,277,2011,Ward 7
198,8,HIGHLANDS,2330,30,900,3,277,2011,Ward 7
198,9,HIGHLANDS,2330,30,900,3,277,2011,Ward 7
198,10,HIGHLANDS,2330,30,900,4,277,2011,Ward 7
198,11,HIGHLANDS,2330,30,900,4,277,2011,Ward 7
198,12,HIGHLANDS,2330,30,900,4,277,2011,Ward 7
199,1,INDUSTRIAL HEIGHTS,2360,0,0,1,0,2011,Ward 7
199,2,INDUSTRIAL HEIGHTS,2360,0,0,1,0,2011,Ward 7
199,3,INDUSTRIAL HEIGHTS,2360,0,0,1,0,2011,Ward 7
199,4,INDUSTRIAL HEIGHTS,2360,0,0,2,0,2011,Ward 7
199,5,INDUSTRIAL HEIGHTS,2360,0,0,2,0,2011,Ward 7
199,6,INDUSTRIAL HEIGHTS,2360,0,0,2,0,2011,Ward 7
199,7,INDUSTRIAL HEIGHTS,2360,0,0,3,0,2011,Ward 7
199,8,INDUSTRIAL HEIGHTS,2360,0,0,3,0,2011,Ward 7
199,9,INDUSTRIAL HEIGHTS,2360,0,0,3,0,2011,Ward 7
199,10,INDUSTRIAL HEIGHTS,2360,0,0,4,0,2011,Ward 7
199,11,INDUSTRIAL HEIGHTS,2360,0,0,4,0,2011,Ward 7
199,12,INDUSTRIAL HEIGHTS,2360,0,0,4,0,2011,Ward 7
200,1,KILDARE,2400,58,654,1,441,2011,Ward 7
200,2,KILDARE,2400,58,654,1,441,2011,Ward 7
200,3,KILDARE,2400,58,654,1,441,2011,Ward 7
200,4,KILDARE,2400,58,654,2,441,2011,Ward 7
200,5,KILDARE,2400,58,654,2,441,2011,Ward 7
200,6,KILDARE,2400,58,654,2,441,2011,Ward 7
200,7,KILDARE,2400,58,654,3,441,2011,Ward 7
200,8,KILDARE,2400,58,654,3,441,2011,Ward 7
200,9,KILDARE,2400,58,654,3,441,2011,Ward 7
200,10,KILDARE,2400,58,654,4,441,2011,Ward 7
200,11,KILDARE,2400,58,654,4,441,2011,Ward 7
200,12,KILDARE,2400,58,654,4,441,2011,Ward 7
201,1,KILLARNEY,2420,55,614,1,1066,2011,Ward 7
201,2,KILLARNEY,2420,55,614,1,1066,2011,Ward 7
201,3,KILLARNEY,2420,55,614,1,1066,2011,Ward 7
201,4,KILLARNEY,2420,55,614,2,1066,2011,Ward 7
201,5,KILLARNEY,2420,55,614,2,1066,2011,Ward 7
201,6,KILLARNEY,2420,55,614,2,1066,2011,Ward 7
201,7,KILLARNEY,2420,55,614,3,1066,2011,Ward 7
201,8,KILLARNEY,2420,55,614,3,1066,2011,Ward 7
201,9,KILLARNEY,2420,55,614,3,1066,2011,Ward 7
201,10,KILLARNEY,2420,55,614,4,1066,2011,Ward 7
201,11,KILLARNEY,2420,55,614,4,1066,2011,Ward 7
201,12,KILLARNEY,2420,55,614,4,1066,2011,Ward 7
202,1,MONTROSE,2550,148,737,1,566,2011,Ward 7
202,2,MONTROSE,2550,148,737,1,566,2011,Ward 7
202,3,MONTROSE,2550,148,737,1,566,2011,Ward 7
202,4,MONTROSE,2550,148,737,2,566,2011,Ward 7
202,5,MONTROSE,2550,148,737,2,566,2011,Ward 7
202,6,MONTROSE,2550,148,737,2,566,2011,Ward 7
202,7,MONTROSE,2550,148,737,3,566,2011,Ward 7
202,8,MONTROSE,2550,148,737,3,566,2011,Ward 7
202,9,MONTROSE,2550,148,737,3,566,2011,Ward 7
202,10,MONTROSE,2550,148,737,4,566,2011,Ward 7
202,11,MONTROSE,2550,148,737,4,566,2011,Ward 7
202,12,MONTROSE,2550,148,737,4,566,2011,Ward 7
203,1,NEWTON,2560,136,850,1,274,2011,Ward 7
203,2,NEWTON,2560,136,850,1,274,2011,Ward 7
203,3,NEWTON,2560,136,850,1,274,2011,Ward 7
203,4,NEWTON,2560,136,850,2,274,2011,Ward 7
203,5,NEWTON,2560,136,850,2,274,2011,Ward 7
203,6,NEWTON,2560,136,850,2,274,2011,Ward 7
203,7,NEWTON,2560,136,850,3,274,2011,Ward 7
203,8,NEWTON,2560,136,850,3,274,2011,Ward 7
203,9,NEWTON,2560,136,850,3,274,2011,Ward 7
203,10,NEWTON,2560,136,850,4,274,2011,Ward 7
203,11,NEWTON,2560,136,850,4,274,2011,Ward 7
203,12,NEWTON,2560,136,850,4,274,2011,Ward 7
204,1,NORTHMOUNT,2580,29,865,1,257,2011,Ward 7
204,2,NORTHMOUNT,2580,29,865,1,257,2011,Ward 7
204,3,NORTHMOUNT,2580,29,865,1,257,2011,Ward 7
204,4,NORTHMOUNT,2580,29,865,2,257,2011,Ward 7
204,5,NORTHMOUNT,2580,29,865,2,257,2011,Ward 7
204,6,NORTHMOUNT,2580,29,865,2,257,2011,Ward 7
204,7,NORTHMOUNT,2580,29,865,3,257,2011,Ward 7
204,8,NORTHMOUNT,2580,29,865,3,257,2011,Ward 7
204,9,NORTHMOUNT,2580,29,865,3,257,2011,Ward 7
204,10,NORTHMOUNT,2580,29,865,4,257,2011,Ward 7
204,11,NORTHMOUNT,2580,29,865,4,257,2011,Ward 7
204,12,NORTHMOUNT,2580,29,865,4,257,2011,Ward 7
205,1,PARKDALE,1160,173,758,1,633,2011,Ward 7
205,2,PARKDALE,1160,173,758,1,633,2011,Ward 7
205,3,PARKDALE,1160,173,758,1,633,2011,Ward 7
205,4,PARKDALE,1160,173,758,2,633,2011,Ward 7
205,5,PARKDALE,1160,173,758,2,633,2011,Ward 7
205,6,PARKDALE,1160,173,758,2,633,2011,Ward 7
205,7,PARKDALE,1160,173,758,3,633,2011,Ward 7
205,8,PARKDALE,1160,173,758,3,633,2011,Ward 7
205,9,PARKDALE,1160,173,758,3,633,2011,Ward 7
205,10,PARKDALE,1160,173,758,4,633,2011,Ward 7
205,11,PARKDALE,1160,173,758,4,633,2011,Ward 7
205,12,PARKDALE,1160,173,758,4,633,2011,Ward 7
206,1,RIVER VALLEY HIGHLANDS,2640,0,0,1,0,2011,Ward 7
206,2,RIVER VALLEY HIGHLANDS,2640,0,0,1,0,2011,Ward 7
206,3,RIVER VALLEY HIGHLANDS,2640,0,0,1,0,2011,Ward 7
206,4,RIVER VALLEY HIGHLANDS,2640,0,0,2,0,2011,Ward 7
206,5,RIVER VALLEY HIGHLANDS,2640,0,0,2,0,2011,Ward 7
206,6,RIVER VALLEY HIGHLANDS,2640,0,0,2,0,2011,Ward 7
206,7,RIVER VALLEY HIGHLANDS,2640,0,0,3,0,2011,Ward 7
206,8,RIVER VALLEY HIGHLANDS,2640,0,0,3,0,2011,Ward 7
206,9,RIVER VALLEY HIGHLANDS,2640,0,0,3,0,2011,Ward 7
206,10,RIVER VALLEY HIGHLANDS,2640,0,0,4,0,2011,Ward 7
206,11,RIVER VALLEY HIGHLANDS,2640,0,0,4,0,2011,Ward 7
206,12,RIVER VALLEY HIGHLANDS,2640,0,0,4,0,2011,Ward 7
207,1,RIVER VALLEY KINNAIRD,1190,0,0,1,0,2011,Ward 7
207,2,RIVER VALLEY KINNAIRD,1190,0,0,1,0,2011,Ward 7
207,3,RIVER VALLEY KINNAIRD,1190,0,0,1,0,2011,Ward 7
207,4,RIVER VALLEY KINNAIRD,1190,0,0,2,0,2011,Ward 7
207,5,RIVER VALLEY KINNAIRD,1190,0,0,2,0,2011,Ward 7
207,6,RIVER VALLEY KINNAIRD,1190,0,0,2,0,2011,Ward 7
207,7,RIVER VALLEY KINNAIRD,1190,0,0,3,0,2011,Ward 7
207,8,RIVER VALLEY KINNAIRD,1190,0,0,3,0,2011,Ward 7
207,9,RIVER VALLEY KINNAIRD,1190,0,0,3,0,2011,Ward 7
207,10,RIVER VALLEY KINNAIRD,1190,0,0,4,0,2011,Ward 7
207,11,RIVER VALLEY KINNAIRD,1190,0,0,4,0,2011,Ward 7
207,12,RIVER VALLEY KINNAIRD,1190,0,0,4,0,2011,Ward 7
208,1,RIVER VALLEY RUNDLE,2650,0,0,1,0,2011,Ward 7
208,2,RIVER VALLEY RUNDLE,2650,0,0,1,0,2011,Ward 7
208,3,RIVER VALLEY RUNDLE,2650,0,0,1,0,2011,Ward 7
208,4,RIVER VALLEY RUNDLE,2650,0,0,2,0,2011,Ward 7
208,5,RIVER VALLEY RUNDLE,2650,0,0,2,0,2011,Ward 7
208,6,RIVER VALLEY RUNDLE,2650,0,0,2,0,2011,Ward 7
208,7,RIVER VALLEY RUNDLE,2650,0,0,3,0,2011,Ward 7
208,8,RIVER VALLEY RUNDLE,2650,0,0,3,0,2011,Ward 7
208,9,RIVER VALLEY RUNDLE,2650,0,0,3,0,2011,Ward 7
208,10,RIVER VALLEY RUNDLE,2650,0,0,4,0,2011,Ward 7
208,11,RIVER VALLEY RUNDLE,2650,0,0,4,0,2011,Ward 7
208,12,RIVER VALLEY RUNDLE,2650,0,0,4,0,2011,Ward 7
209,1,RUNDLE HEIGHTS,2660,120,474,1,744,2011,Ward 7
209,2,RUNDLE HEIGHTS,2660,120,474,1,744,2011,Ward 7
209,3,RUNDLE HEIGHTS,2660,120,474,1,744,2011,Ward 7
209,4,RUNDLE HEIGHTS,2660,120,474,2,744,2011,Ward 7
209,5,RUNDLE HEIGHTS,2660,120,474,2,744,2011,Ward 7
209,6,RUNDLE HEIGHTS,2660,120,474,2,744,2011,Ward 7
209,7,RUNDLE HEIGHTS,2660,120,474,3,744,2011,Ward 7
209,8,RUNDLE HEIGHTS,2660,120,474,3,744,2011,Ward 7
209,9,RUNDLE HEIGHTS,2660,120,474,3,744,2011,Ward 7
209,10,RUNDLE HEIGHTS,2660,120,474,4,744,2011,Ward 7
209,11,RUNDLE HEIGHTS,2660,120,474,4,744,2011,Ward 7
209,12,RUNDLE HEIGHTS,2660,120,474,4,744,2011,Ward 7
210,1,VIRGINIA PARK,1240,20,136,1,262,2011,Ward 7
210,2,VIRGINIA PARK,1240,20,136,1,262,2011,Ward 7
210,3,VIRGINIA PARK,1240,20,136,1,262,2011,Ward 7
210,4,VIRGINIA PARK,1240,20,136,2,262,2011,Ward 7
210,5,VIRGINIA PARK,1240,20,136,2,262,2011,Ward 7
210,6,VIRGINIA PARK,1240,20,136,2,262,2011,Ward 7
210,7,VIRGINIA PARK,1240,20,136,3,262,2011,Ward 7
210,8,VIRGINIA PARK,1240,20,136,3,262,2011,Ward 7
210,9,VIRGINIA PARK,1240,20,136,3,262,2011,Ward 7
210,10,VIRGINIA PARK,1240,20,136,4,262,2011,Ward 7
210,11,VIRGINIA PARK,1240,20,136,4,262,2011,Ward 7
210,12,VIRGINIA PARK,1240,20,136,4,262,2011,Ward 7
211,1,YELLOWHEAD CORRIDOR EAST,1270,0,0,1,0,2011,Ward 7
211,2,YELLOWHEAD CORRIDOR EAST,1270,0,0,1,0,2011,Ward 7
211,3,YELLOWHEAD CORRIDOR EAST,1270,0,0,1,0,2011,Ward 7
211,4,YELLOWHEAD CORRIDOR EAST,1270,0,0,2,0,2011,Ward 7
211,5,YELLOWHEAD CORRIDOR EAST,1270,0,0,2,0,2011,Ward 7
211,6,YELLOWHEAD CORRIDOR EAST,1270,0,0,2,0,2011,Ward 7
211,7,YELLOWHEAD CORRIDOR EAST,1270,0,0,3,0,2011,Ward 7
211,8,YELLOWHEAD CORRIDOR EAST,1270,0,0,3,0,2011,Ward 7
211,9,YELLOWHEAD CORRIDOR EAST,1270,0,0,3,0,2011,Ward 7
211,10,YELLOWHEAD CORRIDOR EAST,1270,0,0,4,0,2011,Ward 7
211,11,YELLOWHEAD CORRIDOR EAST,1270,0,0,4,0,2011,Ward 7
211,12,YELLOWHEAD CORRIDOR EAST,1270,0,0,4,0,2011,Ward 7
212,1,BELGRAVIA,5040,4,652,1,223,2011,Ward 8
212,2,BELGRAVIA,5040,4,652,1,223,2011,Ward 8
212,3,BELGRAVIA,5040,4,652,1,223,2011,Ward 8
212,4,BELGRAVIA,5040,4,652,2,223,2011,Ward 8
212,5,BELGRAVIA,5040,4,652,2,223,2011,Ward 8
212,6,BELGRAVIA,5040,4,652,2,223,2011,Ward 8
212,7,BELGRAVIA,5040,4,652,3,223,2011,Ward 8
212,8,BELGRAVIA,5040,4,652,3,223,2011,Ward 8
212,9,BELGRAVIA,5040,4,652,3,223,2011,Ward 8
212,10,BELGRAVIA,5040,4,652,4,223,2011,Ward 8
212,11,BELGRAVIA,5040,4,652,4,223,2011,Ward 8
212,12,BELGRAVIA,5040,4,652,4,223,2011,Ward 8
213,1,BONNIE DOON,6040,206,947,1,1018,2011,Ward 8
213,2,BONNIE DOON,6040,206,947,1,1018,2011,Ward 8
213,3,BONNIE DOON,6040,206,947,1,1018,2011,Ward 8
213,4,BONNIE DOON,6040,206,947,2,1018,2011,Ward 8
213,5,BONNIE DOON,6040,206,947,2,1018,2011,Ward 8
213,6,BONNIE DOON,6040,206,947,2,1018,2011,Ward 8
213,7,BONNIE DOON,6040,206,947,3,1018,2011,Ward 8
213,8,BONNIE DOON,6040,206,947,3,1018,2011,Ward 8
213,9,BONNIE DOON,6040,206,947,3,1018,2011,Ward 8
213,10,BONNIE DOON,6040,206,947,4,1018,2011,Ward 8
213,11,BONNIE DOON,6040,206,947,4,1018,2011,Ward 8
213,12,BONNIE DOON,6040,206,947,4,1018,2011,Ward 8
214,1,CAPILANO,6061,75,943,1,66,2011,Ward 8
