Neighbourhood Name,Bicycle,Car/Truck/Van (As Driver),Car/Truck/Van (As Passenger),Other,Transit,Walk,Owned,Rented,Edmonton Catholic,Edmonton Public,AGE,Female,Male,Catholic,Public
BEAUMARIS,"2,088","779,868","49,068","21,402","96,048","9,396","267,264","100,659","774,126","1,306,566","21,420","13,476","12,780","709,398","1,250,190"
BELGRAVIA,"15,138","260,478","6,264","15,660","108,054","68,904","139,026","46,719","98,136","879,048","21,420","6,324","6,522","126,846","901,494"
BELLE RIVE,"1,566","920,808","48,024","5,742","69,948","3,654","311,373","26,361","742,806","1,176,066","21,420","11,838","11,832","669,204","1,104,030"
BELLEVUE,"4,176","202,014","8,352","8,352","40,716","4,698","60,900","16,965","66,294","358,614","21,420","2,778","2,856","73,602","302,760"
BELMEAD,"2,088","838,332","58,986","36,018","152,424","38,106","243,513","130,239","584,118","1,596,276","21,420","14,070","13,494","545,490","1,353,024"
BELMONT,"3,132","1,007,982","51,678","30,276","240,642","28,710","273,093","163,473","786,654","1,494,486","21,420","15,654","15,546","850,860","1,494,486"
BELVEDERE,"3,132","777,258","68,382","14,094","248,472","39,150","206,451","207,582","526,698","1,735,128","21,420","14,928","15,132","570,024","1,804,032"
BERGMAN,0,"351,828","13,050",0,"31,320",0,"108,837","15,225","172,260","563,760","21,420","4,074","4,650","210,888","518,868"
BEVERLY HEIGHTS,"8,352","580,986","28,188","18,792","99,180","19,836","177,045","87,783","396,720","1,094,112","21,420","9,498","9,642","340,866","1,150,488"
BISSET,"2,610","749,070","56,898","20,880","129,456","10,962","208,974","107,793","350,262","1,288,296","21,420","11,394","11,592","299,106","1,270,548"
BLACKBURNE,"1,044","335,124","8,352","8,874","29,232","3,132","121,800","6,264","226,026","503,208","21,420","4,674","4,362","216,630","456,228"
BLACKMUD CREEK,"1,566","626,922","24,534","16,182","64,728","3,654","200,100","18,879","317,898","981,882","21,420","7,782","7,680","265,176","877,482"
BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
BLUE QUILL,"4,176","786,132","24,012","21,402","270,396","20,880","159,819","225,939","529,830","1,599,930","21,420","13,440","13,968","435,348","1,320,138"
BLUE QUILL ESTATES,"1,566","215,064","8,352","17,226","57,420",0,"64,032","44,544","128,412","460,926","21,420","3,750","4,026","124,236","470,844"
BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
BONNIE DOON,"18,270","754,812","41,760","18,270","199,404","65,772","185,832","157,383","591,426","1,460,034","21,420","13,092","13,020","552,798","1,504,404"
BOYLE STREET,"7,308","659,808","45,414","19,836","303,282","64,206","60,117","380,451","441,612","1,265,850","21,420","13,548","18,384","466,668","1,217,304"
BRANDER GARDENS,"3,132","475,020","15,138","7,308","79,866","4,176","119,016","90,045","217,152","841,986","21,420","7,698","6,888","230,202","811,710"
BRECKENRIDGE GREENS,0,"470,844","15,138","3,654","38,628","3,654","140,592","17,052","262,044","706,788","21,420","5,874","5,592","239,076","646,236"
BRINTNELL,"2,610","1,111,860","50,112","18,270","164,430","7,830","375,927","39,063","744,894","1,616,112","21,420","15,414","15,624","715,662","1,557,126"
BRITANNIA YOUNGSTOWN,"4,698","801,270","78,300","27,666","193,140","58,986","162,516","230,985","454,662","1,597,320","21,420","13,644","14,712","335,646","1,068,012"
BROOKSIDE,"9,396","337,734","11,484","2,610","50,112","10,440","129,369","36,279","145,116","662,418","21,420","5,898","5,598","157,644","700,524"
BROWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
BULYEA HEIGHTS,"3,132","784,044","13,050","31,842","47,502","5,220","299,280","6,090","348,174","1,445,940","21,420","10,794","10,752","283,446","1,322,748"
CAERNARVON,522,"788,742","66,294","15,660","128,934","17,748","233,508","118,059","695,304","1,323,792","21,420","12,528","12,684","541,836","1,089,414"
CALDER,"4,698","777,258","56,376","11,484","135,198","30,798","182,004","155,469","490,680","1,377,036","21,420","11,310","12,654","458,316","1,122,300"
CALGARY TRAIL NORTH,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
CALLAGHAN,0,"258,390","17,226","13,050","36,018","1,044","94,221","3,828","145,116","425,430","21,420","3,480","3,582","231,246","714,618"
CALLINGWOOD NORTH,"2,088","478,152","12,006","7,830","131,544","16,704","83,607","103,965","265,176","794,484","21,420","7,194","7,032","238,554","767,862"
CALLINGWOOD SOUTH,"2,610","972,486","102,834","22,446","258,390","53,766","90,393","388,716","639,972","1,855,188","21,420","16,626","16,854","647,280","1,510,668"
CAMERON HEIGHTS,522,"286,578","9,396","20,358","11,484",0,"93,438","2,784","173,826","335,124","21,420","3,348","3,402","246,384","446,832"
CANON RIDGE,522,"478,674","18,792","8,352","78,822","3,132","106,662","59,508","230,724","738,108","21,420","6,186","5,958","265,698","658,764"
CANORA,"12,006","536,094","40,194","14,616","193,662","47,502","81,780","190,965","350,784","1,129,608","21,420","9,480","10,380","299,106","851,904"
CANOSSA,0,"793,440","43,848","10,440","51,156","4,698","253,083","18,792","644,670","940,644","21,420","9,756","9,504","519,912","786,654"
CAPILANO,"3,132","583,596","17,226","17,226","50,634","15,660","206,799","13,833","278,226","991,800","21,420","7,704","8,394","255,780","752,202"
CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
CARLISLE,"2,088","704,700","49,068","15,660","103,356","16,182","200,361","125,889","588,294","1,193,292","21,420","11,826","11,232","598,734","1,105,074"
CARLTON,"1,044","672,336","26,100","16,704","36,018","3,132","216,108","17,226","458,316","915,588","21,420","8,136","8,286","512,082","1,145,790"
CARTER CREST,0,"346,608","3,654","14,616","17,226","1,566","129,195","3,915","222,894","532,440","21,420","5,328","5,016","214,542","524,610"
CASSELMAN,"3,132","652,500","29,232","7,308","135,720","5,742","164,430","108,315","497,466","1,010,592","21,420","10,446","9,984","562,194","1,142,658"
CENTRAL MCDOUGALL,"7,830","435,348","57,420","13,050","311,634","158,166","34,539","351,132","381,582","1,329,012","21,420","12,570","15,552","500,598","1,435,500"
CHAMBERY,522,"496,944","17,748","6,786","26,100","2,088","168,084","5,916","449,964","579,942","21,420","6,240","6,144","370,098","550,710"
CHAPPELLE AREA,0,"35,496","2,088",0,"4,176",0,"11,571","1,131","28,710","48,546","21,420",462,444,"184,788","568,980"
CHARLESWORTH,"2,610","762,120","18,792","4,698","78,300","5,220","225,243","21,924","181,656","481,284","21,420","8,760","8,886","471,888","1,315,440"
CLAREVIEW TOWN CENTRE,0,"543,402","38,628","15,138","280,836","23,490","124,149","139,983","400,896","1,068,534","21,420","9,420","9,960","408,726","977,706"
CLOVER BAR AREA,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
CLOVERDALE,"4,176","212,976","11,484","1,566","19,314","16,182","58,638","15,225","100,224","325,206","21,420","2,682","2,628","97,092","292,320"
CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
CORONET INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
CPR IRVINE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
CRAWFORD PLAINS,"3,654","990,756","41,760","16,182","95,526","7,830","279,966","77,430","359,136","1,418,796","21,420","12,900","13,416","453,618","1,659,960"
CRESTWOOD,"10,962","409,770","17,748","12,006","29,754","10,962","177,741","14,529","304,848","653,022","21,420","7,146","6,696","300,672","702,612"
CROMDALE,"4,176","297,540","11,484","11,484","176,436","17,748","54,288","110,838","169,650","749,070","21,420","5,274","6,228","205,668","730,278"
CRYSTALLINA NERA,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
CUMBERLAND,"2,088","1,526,328","28,188","17,748","108,576","13,050","452,661","75,777","1,082,106","1,823,346","21,420","19,254","19,194","945,864","1,922,526"
DALY GROVE,"1,566","799,704","56,376","13,050","84,564","6,264","206,364","90,480","324,684","1,370,772","21,420","10,482","10,806","385,236","1,314,918"
DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
DECHENE,"1,044","327,816","7,308","1,566","17,226","2,088","116,232","4,785","268,830","429,084","21,420","5,256","5,058","275,094","445,266"
DELTON,"3,654","368,532","26,622","4,698","80,388","6,264","95,787","62,727","194,184","562,194","21,420","5,622","6,426","171,216","463,014"
DELWOOD,"2,088","596,124","32,886","17,748","95,526","13,050","240,642","46,545","500,076","1,023,642","21,420","10,206","10,104","551,754","994,410"
DESROCHERS AREA,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
DOMINION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
DONSDALE,0,"255,780","17,748","11,484","4,176",522,"87,609","1,827","165,474","374,796","21,420","3,984","3,480","173,304","378,450"
DOVERCOURT,"4,698","443,700","22,968","10,440","70,470","12,006","124,149","46,545","230,202","661,896","21,420","5,940","6,264","257,868","724,014"
DOWNTOWN,"22,968","1,188,594","43,326","30,798","596,124","944,298","216,630","697,392","633,708","3,254,148","21,420","31,344","35,640","697,392","3,130,956"
DUGGAN,"8,352","681,732","33,930","16,182","201,492","32,886","221,850","151,815","505,296","1,663,092","21,420","13,638","13,572","505,296","1,557,126"
DUNLUCE,"5,220","1,242,360","60,552","24,534","165,996","24,012","324,249","192,096","983,448","1,968,984","21,420","18,534","19,578","795,006","1,837,962"
EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
EASTWOOD,"12,006","525,132","45,414","15,660","220,806","35,496","108,576","219,327","486,504","1,261,674","21,420","11,142","12,726","429,606","929,160"
EAUX CLAIRES,522,"682,776","41,760","8,352","76,734","17,226","220,110","32,538","487,026","932,814","21,420","9,252","9,090","445,266","735,498"
EBBERS,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
EDMISTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
EDMONTON NORTHLANDS,0,522,0,0,0,0,261,0,0,"1,566","21,420",6,12,0,0
EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
EKOTA,"2,088","503,208","32,364","8,352","77,256","15,138","147,552","69,861","321,030","922,896","21,420","7,680","7,620","389,934","940,644"
ELLERSLIE,"1,566","1,275,246","55,332","18,270","113,274","17,748","366,009","76,473","618,048","1,762,272","21,420","16,404","16,968","753,768","1,836,918"
ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",6,0,0,0
ELMWOOD,"1,566","431,172","25,578","12,528","97,092","38,628","124,758","83,868","264,132","761,598","21,420","7,776","7,902","330,948","893,664"
ELMWOOD PARK,"1,566","169,128","15,660","5,220","34,452","7,830","39,672","44,892","137,286","270,918","21,420","3,024","3,444","121,626","343,476"
ELSINORE,0,"439,002","12,528","7,830","28,188","2,610","169,215","4,785","447,876","553,320","21,420","6,492","6,294","480,762","563,238"
EMPIRE PARK,"11,484","767,862","74,124","24,534","353,916","114,318","34,974","403,332","284,490","1,532,592","21,420","14,520","16,518","285,012","1,241,838"
ERMINESKIN,"6,786","776,736","66,816","29,232","279,792","42,804","130,761","283,185","452,052","1,561,824","21,420","15,678","14,538","405,072","1,272,114"
EVANSDALE,"2,088","904,626","69,426","17,226","165,996","21,924","243,513","232,986","808,578","1,802,466","21,420","16,428","17,502","796,050","1,802,988"
EVERGREEN,0,"280,836","7,830","1,044","24,012",0,"115,797","8,178","88,740","494,856","21,420","4,086","4,614","42,804","477,108"
FALCONER HEIGHTS,"1,044","349,740","9,918",522,"36,540","10,962","142,071","23,316","245,862","726,102","21,420","6,918","5,502","196,272","700,002"
FOREST HEIGHTS,"7,308","696,870","14,616","9,396","122,670","14,094","186,006","111,534","342,432","920,808","21,420","11,754","11,814","351,828","1,148,400"
FRASER,"2,088","698,958","48,024","17,226","144,072","7,308","199,230","69,078","409,770","1,185,984","21,420","9,714","9,948","338,256","1,120,734"
